epoch,matthews_corrcoef,confusion_matrix,f1_score,accuracy_score,loss
42,0.48980066200496103,"[[76211  5901]
 [ 7831  9132]]",0.5708213526690837,0.8613979308604592,0.08230511594503034
43,0.4766448777767854,"[[75794  6318]
 [ 7881  9082]]",0.5612582269876093,0.8566843300529902,0.07939468583372244
44,0.4776951056925721,"[[76589  5523]
 [ 8284  8679]]",0.556970961013958,0.8606409285894524,0.07973383128833406
45,0.48282677440846367,"[[76960  5152]
 [ 8387  8576]]",0.5588609038480338,0.8633459500378501,0.07782815170882473
46,0.48068101016167,"[[76497  5615]
 [ 8173  8790]]",0.5604437643458301,0.8608327024981075,0.0772229353944603
47,0.47988847471511703,"[[76212  5900]
 [ 8035  8928]]",0.5616683967160517,0.8593489780469341,0.07601909429215328
48,0.4896344210714222,"[[75918  6194]
 [ 7678  9285]]",0.5724061401886443,0.8599848599545798,0.07493012136051258
49,0.48327968895753354,"[[76250  5862]
 [ 7986  8977]]",0.5645556883214893,0.860227100681302,0.073537473619152
50,0.4800638406667803,"[[76723  5389]
 [ 8310  8653]]",0.5581680374133204,0.8617310118597022,0.07483837127886665
51,0.4807158170918266,"[[75784  6328]
 [ 7792  9171]]",0.565029881091738,0.8574817057784506,0.0721589084210902
52,0.4883623258480794,"[[77147  4965]
 [ 8382  8581]]",0.5625225343341309,0.8652838758516276,0.07222736135519159
53,0.48362824588973197,"[[77120  4992]
 [ 8462  8501]]",0.558247964276333,0.8642038859449912,0.07117095048433987
54,0.4733434468411609,"[[75169  6943]
 [ 7631  9332]]",0.5615259642577772,0.8528993186979561,0.07188396996986973
55,0.4842705580750521,"[[76135  5977]
 [ 7904  9059]]",0.5662051939123097,0.859894019682059,0.06985827851713311
56,0.4754902650198747,"[[76454  5658]
 [ 8255  8708]]",0.555906667943439,0.8595710320464295,0.06940598642891799
57,0.48045706611972305,"[[75978  6134]
 [ 7899  9064]]",0.5636640651721028,0.8583598284128185,0.0689168774100414
58,0.48360957729527276,"[[77652  4460]
 [ 8774  8189]]",0.5530865865189788,0.8664244259399445,0.06728586349188412
59,0.48643815412578195,"[[75456  6656]
 [ 7504  9459]]",0.5719209142027933,0.8570779712339137,0.06634811100786418
60,0.4816268569670875,"[[76241  5871]
 [ 8015  8948]]",0.5630860235353345,0.859843552863992,0.06748224520770084
61,0.4881036350890816,"[[75816  6296]
 [ 7656  9307]]",0.5715777190935333,0.8591773908655059,0.06549979871935031
62,0.4753275308602641,"[[76065  6047]
 [ 8050  8913]]",0.5584061648341322,0.8577138531415595,0.06511144706657354
63,0.4901847585005627,"[[76013  6099]
 [ 7717  9246]]",0.5723659774668812,0.8605500883169316,0.06380995472486163
64,0.484142374086279,"[[76487  5625]
 [ 8097  8866]]",0.5637438799516754,0.8614988644965935,0.06403944488640827
65,0.4840428329802553,"[[76538  5574]
 [ 8127  8836]]",0.563286902750773,0.8617108251324754,0.06423702229154422
66,0.4852909757441069,"[[77359  4753]
 [ 8567  8396]]",0.5576514346439957,0.86555639666919,0.06524609932374437
67,0.48446285576670756,"[[77034  5078]
 [ 8396  8567]]",0.5597882906429693,0.8640020186727226,0.06345512357013784
68,0.48238059321556187,"[[75844  6268]
 [ 7789  9174]]",0.5662089183767938,0.8581175876860964,0.062207319392002906
69,0.47758985491161426,"[[75061  7051]
 [ 7489  9474]]",0.5658146201624463,0.8532424930608126,0.06222143915986077
70,0.475274488237633,"[[76536  5576]
 [ 8304  8659]]",0.5550996858773,0.8599041130456725,0.06250690739463803
71,0.49404936914001846,"[[76808  5304]
 [ 8073  8890]]",0.5706582790384184,0.8649810749432248,0.060599503777846606
72,0.47556266918499046,"[[76142  5970]
 [ 8086  8877]]",0.5581263753536625,0.8581276810497098,0.06062486273205879
73,0.47750886347503047,"[[76520  5592]
 [ 8250  8713]]",0.5573109888704108,0.8602876608629826,0.05939384281214058
74,0.4915454815872026,"[[77511  4601]
 [ 8531  8432]]",0.5622082944392587,0.8674539490285138,0.05923724710622678
75,0.4868778369061963,"[[77280  4832]
 [ 8489  8474]]",0.5599127820542469,0.8655463033055766,0.057729087933886813
76,0.4723375581639657,"[[77499  4613]
 [ 8907  8056]]",0.5437365010799136,0.8635377239465052,0.05727751773764683
77,0.4835877909080012,"[[76271  5841]
 [ 7991  8972]]",0.5647029204431018,0.8603885944991169,0.06091271506004372
78,0.48128721035080135,"[[76282  5830]
 [ 8044  8919]]",0.5625,0.859964673227353,0.05801920005472481
79,0.48833964165888205,"[[77167  4945]
 [ 8394  8569]]",0.5623256882239065,0.8653646227605349,0.05777959114500879
80,0.48962019748751634,"[[76498  5614]
 [ 7991  8972]]",0.5687660464673999,0.8626797880393641,0.0563765752095951
81,0.48245699275401055,"[[76050  6062]
 [ 7896  9067]]",0.5650629440358967,0.8591168306838254,0.05674053489695167
82,0.47420234705616576,"[[76326  5786]
 [ 8212  8751]]",0.5556190476190477,0.8587130961392884,0.055489487406828034
83,0.4829803198092156,"[[77367  4745]
 [ 8618  8345]]",0.5553522110937343,0.8651223820338128,0.05500330248895619
84,0.48803011743391667,"[[77043  5069]
 [ 8329  8634]]",0.5630991978086479,0.8647691143073429,0.05485311111517304
85,0.4740143736183462,"[[75639  6473]
 [ 7855  9108]]",0.5597345132743363,0.8553822861468584,0.055958140419284444
86,0.48893422501302,"[[76381  5731]
 [ 7941  9022]]",0.5689242022953713,0.8620035326772647,0.055598173418462626
87,0.4837359365729696,"[[76404  5708]
 [ 8060  8903]]",0.5639450180528283,0.861034569770376,0.05462752084306717
88,0.485656342247064,"[[76774  5338]
 [ 8225  8738]]",0.5630336028866909,0.8631037093111279,0.05493763687390302
89,0.4785943237736978,"[[76108  6004]
 [ 8006  8957]]",0.5611452198972559,0.8585919757759273,0.055622334134536454
90,0.4847096600261375,"[[76258  5854]
 [ 7961  9002]]",0.565825450202709,0.860560181680545,0.05499926689102606
91,0.4848901047491236,"[[76730  5382]
 [ 8216  8747]]",0.5626527724173421,0.8627504415846581,0.05243510433992891
92,0.4793453009068846,"[[77316  4796]
 [ 8661  8302]]",0.5523435680782409,0.8641736058541509,0.05362999043882693
93,0.4933409356263286,"[[76237  5875]
 [ 7772  9191]]",0.573917387367698,0.8622558667676004,0.05336728791046936
94,0.47325413742464995,"[[76249  5863]
 [ 8190  8773]]",0.5552707364157093,0.8581579611405501,0.052995338442094676
95,0.49126316913487894,"[[76606  5506]
 [ 8017  8946]]",0.5695368454559924,0.8635074438556649,0.051559688084549
96,0.48313732794096836,"[[77059  5053]
 [ 8437  8526]]",0.5583131425577893,0.8638405248549079,0.05301826607196924
97,0.4895956368720208,"[[76218  5894]
 [ 7839  9124]]",0.5705887870923361,0.8613878374968458,0.05165783161102589
98,0.49242451512899876,"[[76889  5223]
 [ 8152  8811]]",0.5685066296738395,0.8650012616704517,0.051089156195677034
99,0.4835669411131755,"[[75959  6153]
 [ 7825  9138]]",0.5666273950517765,0.8589149634115569,0.05157226257713065
100,0.486749581578046,"[[77279  4833]
 [ 8491  8472]]",0.5597991277917271,0.8655160232147363,0.0514699186102247
